Question,Answer,Answer_start,Answer_end,Context
The ape-bannered king _.,was a great warrior,0,18,"['Æ˙È¥Æ‰æŸXŸ –∆@ÀÅ ¥‡⁄¨∆¤¥™‰ |–È∫Æ˙XŸ º“Ÿ∏Ÿ“‹Å ÀóÌŸ≥Æ±º‹Å ¥‡¨è¥‡¨éÍ || 18The Kashi king, the great archer, and the great warrior,Shikhandi; Dhrishtadyumna and Virata and the undefeatedSatyaki; Drupada and the sons of Drupada: All together,O Lord of the Earth, as well as the mighty-armed Saubhadra,blew their conches—each and every one.– îËŒË ∞Ÿ™@¿Ÿ{˙Ÿ®ŸÄ „ÆæŸ⁄≤ …æÆŸ¿æ™Î |≤∫XŸ ¥‡⁄¨∆¤Ä òÊ∆ ™‹ºƒ‹ Ë …æ≤‹≤ŸÆæ≤Î || 19This thundering sound rent the hearts of the sons ofDhritarashtra, resounding through earth and sky.Ç¨ …æ∆⁄—¨™Ÿ≥B‡{˝Ÿ ∞Ÿ™@¿Ÿ{˙Ÿ≥é⁄¥±∆úÅ |\x0cA RJUNA’S DESPAIR¥˘∆‡%‰ À—&–Ä¥Ÿ™‰ ∞≤‹¡YΩæ ¥Ÿ©•∆Å || 20„Œ¤éÂÀÄ ™ÆŸ ∆Ÿèæ⁄ºÆºŸ“ º“¤¥™‰ |–‰≤æË¡∫æËº@±æ‰ ¿¨Ä —¨Ÿ¥æ º‰Éôæ‹™ || 21æŸ∆Æ‰™Ÿ⁄≤Ù¿¤’‰É“Ä æËØÛ‹éŸºŸ≤∆⁄—¨™Ÿ≤Î |éÁº@æŸ –“ æËØÛ…æº⁄—º≤˘®–º‹Yº‰ || 22Then the ape-bannered']"
Which of the following is NOT true?,The wheel of life is a kind of evil.,0,35,"['143–144Vishnu, 97, 108, 110, 182Vishvarupa, xvVishvedevas, 108, 182Vivasvat (the sun), 39, 40, 183voiceaction initiated by, 160austerity of the, 152\x0cI NDEXVrishni, Son of (Krishna), 9, 36, 182Vrishnis, 101, 183Vyasa (Vedavyasa/Vadarayana/Badarayana/Dvaipayana), xvi,xviii, 96, 101, 174, 183Wwar, god of (Skanda), 98, 181warriors, 18, 167. See also battlewater, 70, 98wealth, 45, 47, 72, 145–147wheel of life. See death-rebirth cycle(wheel of life)wicked, the, 31, 41, 91wickedness, 47. See also evilWilkins, Charles, xi, xxwind, 70wisdomattaining, purpose of, 140foundation of, 23–24, 25men of, 23, 34, 72–73, 158mental discipline for obtaining,26, 43origin of all, 100Wolf Belly (Bhima), xiii, 2, 3, 4, 177,183womenattaining unity, 91corruption of, 9work, doing one’s,']"
Which of the following is TRUE according to the passage?," Arjuna is a student of, xv.",0,27,"['122–129gaining, requirements for, 47–48men of, 72–73moral stains destroyed by, 54object of, 124–125peace through, 48–49practice compared, 119puriﬁcation by, 41, 43, 45, 47–48,84release attained through, 126, 131sacriﬁce of, 45, 47, 87, 173seekers of, 72sluggishness and, 132, 162\x0c194I NDEXknowledge (continued)sword of, 49three properties and, 162knowledge, action, and renunciation, 39–49Kripa, 2, 179Krishna. See also The Divine; TheLordArjuna as student of, xvbecomes Divine Teacher, 12birth, purpose of, 40–42characteristics of, 70–71, 136essence of, 40–42eternal and imperishable, 40–42fearful power of, 109–110, 112–113his cosmic form revealed, 103–116kindness shown Arjuna, 115knowing, 116in Mahabharata, xiii–xivmanifestations of, 104originator of all creation, 130–131promises, 66–67supreme, supernal form revealedto Arjuna, 105–115union with, 73usual form']"
Arjuna said that _.,he would eat beggars' food,0,25,"['not succumb to cowardice, Son of Pritha. This isunworthy of you. Shake off this petty faintness of heart.Stand up, Scorcher of Enemies!’11\x0c12–ŸÄëææËíÇú@‹≤ Ü∆Ÿò |é¨Ä ∫¤œºº“Ä –Äëæ‰ Æ˙Ë®Ä ò º∞‹–›Æ≤ |ÑŒ‹⁄∫Å ¥˘⁄™æË´—æŸ⁄º ¥›úŸ“Ÿ@∆⁄¿–›Æ≤ || 4Arjuna said, ‘How can I ﬁght with arrows against Bhishmaand Drona in battle, Madhusudana? They are worthy ofhomage, Enemy Slayer.í‹¬≤“´∆Ÿ ⁄“ º“Ÿ≤‹∫Ÿ∆Ÿ°Ã˘‰æË ∫Ë#‹~ ∫Ê’º¥¤“ ƒËéÂ |“´∆Ÿ¨@éŸºŸÄ—™‹ í‹¬⁄≤“Ê∆ ∫‹†Ú¤æ ∫ËíŸ≤˘‹⁄∞¿¥˘⁄Æì∞Ÿ≤Î || 5It is better to eat beggars’ food here in this world than tokill teachers of great honor. If I were to kill my teachers, whoare greedy for wealth here, I would enjoy pleasures smearedwith blood.≤ òÊ™⁄Æ˝Ø˜Å é™¿≤ÙË']"
Which of the following is TRUE according to the passage?,The Vedas are mainly about Vedas.,0,32,"['127–128faith for, 84lack of animosity for, 116by meditation, 80, 117–119at the moment of death, 27, 78–80order of devotion, 118–119path of becoming Brahman, 45–49,51–57, 64, 66, 78–83, 128by relinquishing rewards, 90–91,116, 119sacriﬁce in, 74, 89–91by women, 91worship for, 90–91, 127unmanifest, the, 123unmanifest become manifest, 16,81–82, 85Upanishads, ixUshanas, 101, 182Uttamaujas, 2, 182VVadarayana (Vyasa), xvi, xviii, 96,101, 174, 183Varanasi, 179Varuna, 99, 112, 182Vasava, 98, 182Vasishtha’s cow, 30, 99, 177Vasudeva (Krishna), 73, 101, 115,174, 182Vasuki (Ananta), 99, 176, 182Vasus, 98, 104, 108, 182Vayu, 182Vedanta, ix, 140, 182Vedas, 21, 79, 98, 182Vidya (wisdom/science), xxiivijnana (discrimination), xxiiVikarna, 2, 182Vinata, 99, 182Virata, 2, 4, 182virtues, divine human,']"
Which of the following is TRUE according to the passage?,Kunti married Pandu in her family.,0,33,"['founder of Sankhya).\x0cNAMES AND NICKNAMES179Karna The king of Anga and the elder brother on his mother’s side ofthe Pandu princes. He was the son of the sun god Surya by Kuntibefore her marriage to Pandu. Afraid of the censure of her relatives,Kunti abandoned the child in a river, where he was found by a charioteer named Adhiratha and nurtured by his wife Radha. Hence,Karna is sometimes called Sutaputra or Sutaja (son of a charioteer).Kashi The holiest city in India, it sits on the banks of the Ganges inmodern Uttar Pradesh. Also called Banaras or Varanasi.Kauravas Descendants of Kuru. The term']"
Which of the following is NOT true?,Asita is a seer.,0,15,"['reputedly a son of Pandu by Kunti. However, Pandu lived apartfrom Kunti because of a curse, and Kunti had Arjuna by the god Indra.Aryaman One of the Adityas.Ashvattha The holy ﬁg tree; also called the bo or pipal tree.Ashvatthaman The son of Drona and Kripi. An elephant of the samename was killed during the battle to make Drona believe that his sonhad been killed.Ashvins Ancient India’s divine twins. They are the surgeons to thegods. Because of their beauty, they are often used in comparisons.Asita Devala A seer. Also known as just Asita or Devala.Best of the Bharatas Arjuna.Best of the']"
Which of the following is TRUE according to the passage?,Kuntibhoja was the son of a Yadava prince.,0,41,"['primarily refers to the sonsof Dhritarashtra, who are the enemies of the Pandavas. However, thePandavas are also, strictly speaking, Kauravas, since they all descendfrom Kuru.Keshava Krishna.Keshin A demon.Kripa A son of Sharadvat, reared by Shantanu.Krishna Arjuna’s charioteer and an incarnation (avatar) of Vishnu.Kunti The ﬁrst of Pandu’s two wives. Kunti was the daughter of aYadava prince who let the childless Kuntibhoja adopt her. Afterreceiving a charm from a sage, which enabled her to have children byany god she chose, her sons Yudhishthira, Bhima, and Arjuna werefathered by the gods Dharma, Vayu, and Indra respectively.Kuntibhoja A Yadava prince who adopted Kunti.Kuru']"
The passage is written to _.,encourage people to be more responsible,0,38,"['|| Ã˘¤ ÇŸ⁄Æ-≤Ÿ¨æ‰≥Æ˙-íË¿’-ÇŸYŸÅ ⁄∆úŸ≤™‰accessibility. In our troubled times, humanity| ¥˘®Ωæ Ã˘¤-í‹¡ºÎ ≤Ÿ¨ºÎ—∆Ÿ´ºŸ¿Ÿº‰® æË⁄í≤Ÿ | éÂ∆ƒºÎ ¿Ÿú-æËíŸæ “§-⁄∆YŸ Ü¥⁄ÆÕæ™‰ |needs the message of this sacred scripture asYŸºÎ ⁄“ º´—æ‰≥Æ˙-íË¿’-ÇŸYŸÅ⁄∆úŸ≤™‰ | —∆Ÿ´ºŸ¿ŸºÅ Ç¨∆Ÿ æËí¤ úŸ≤¤™‰ ™™Î ¥˘–ŸÆ™Å || Ã˘¤never before.”author® ofæË⁄í≤ŸA HistoryGod¿Ÿú-æËíŸæ “§-⁄∆YŸ∞¿Ë⁄“®¤ Ñ∆ || ¥˘®Ωæ —KarenÃ˘¤-í‹¡ºÎ Armstrong,≤Ÿ¨ºÎ —∆Ÿ´ºŸ¿Ÿº‰| éÂ∆ofƒºÎand The Great Transformation§-⁄∆YŸºÎ ⁄“ º´—æ‰≥Æ˙-íË¿’-ÇŸYŸÅ ⁄∆úŸ≤™‰ | —∆Ÿ´ºŸ¿ŸºÅ Ç¨∆Ÿ æËí¤ úŸ≤¤™‰ ™™Î ¥˘–ŸÆ™öËÅ Ç⁄∞¿Ë⁄“®¤ Ñ∆ || ¥˘®Ωæ Ã˘¤-í‹¡ºÎ ≤Ÿ¨ºÎ —∆Ÿ´ºŸ¿Ÿº‰® æË⁄í≤Ÿ | éÂ∆ƒºÎ ¿Ÿú-æËíŸæ “§Ÿé¿Å || “§-⁄∆YŸºÎ ⁄“ º´—æ‰≥Æ˙-íË¿’-ÇŸYŸÅ ⁄∆úŸ≤™‰ | —∆Ÿ´ºŸ¿ŸºÅ Ç¨∆Ÿ æËí¤ úŸ≤¤™‰ ™™Ëß‹‹ºÎ ÑôöËÅ Ç⁄∞¿Ë⁄“®¤ Ñ∆ || ¥˘®Ωæ Ã˘¤-í‹¡ºÎ ≤Ÿ¨ºÎ —∆Ÿ´ºŸ¿Ÿº‰® æË⁄í≤Ÿ | éÂ∆ƒºÎ ¿Ÿú-æºŸ¿ŸºÅ é‚¥Ÿé¿Å || “§-⁄∆YŸºÎ ⁄“']"
Which of the following is NOT true?,Varuna is the king of the Pandavas.,0,34,"['ape-bannered son of Pandu.Son of Pritha Arjuna in the Gita. In general, it is a patronymic forYudhishthira, Bhima, and Arjuna.\x0c182NAMES AND NICKNAMESSon of Vrishni Krishna, so called because he belonged to the Vrishnitribe (also known as the Yadavas).Sughosha The conch shell of Nakula, one of the ﬁve Pandavas.Supreme, the Brahman. Also referred to as the Supreme Reality.Ucchaishravas Indra’s horse. Produced by the churning of the MilkOcean, and regarded as the archetype and king of horses.Ushanas An ancient sage, in later times identiﬁed with Shukra, theteacher of the Asuras (demons).Uttamaujas One of the warriors in the Mahabharata.Varuna An Aditya. Varuna is']"
" The Kurus assembled in front of Bhishma,Drona,and all the kings because _.",they wanted to show their love to the son of Pritha,0,50,"['to him thus, O Bharata,Hrishikesha stationed their splendid chariot between the twoarmies, right in front of Bhishma, Drona, and all the kingsand said, ‘Son of Pritha, behold these Kurus assembled.’5\x0c6Çú@‹≤⁄∆ŒŸÆæËí™&Ÿ¥Õæ⁄´—¨™Ÿ≥¥Ÿ¨@Å ⁄¥™·≤¨ ⁄¥™Ÿº“Ÿ≤Î |ÇŸòŸæŸ@≥ºŸ™‹ƒŸ≥∫˘Ÿ™·≥¥‹&Ÿ≥¥È&Ÿ≥–ê¤Ä—™¨Ÿ || 26Õ∆À‹¿Ÿ≥–‹„ÆXŸÊ∆ –‰≤æË¡∫æË¿⁄¥ |™Ÿ≥–º¤÷æ – éÈ≥™‰æÅ –∆Ÿ@≥∏≥∞›≤∆⁄—¨™Ÿ≤Î || 27é‚¥æŸ ¥¿æŸ⁄∆{Ë ⁄∆Œ¤Æ⁄≤ÙÆº∏˘∆¤™Î |B‡{Í∆‰ºŸ≥—∆ú≤Ÿ≥é‚œ® æ‹æ‹´–›≥–º∆⁄—¨™Ÿ≤Î || 28–¤Æ⁄≥™ ºº íŸ&Ÿ⁄® º‹êÄ ò ¥⁄¿À‹œæ⁄™ |∆‰¥¨‹XŸ À¿¤¿‰ º‰ ¿Ëº“Œ@XŸ úŸæ™‰ || 29There the son of Pritha saw standing fathers and grandfathers,as well as teachers, uncles, brothers, sons, grandsons, friends,fathers-in-law, and even allies in both armies. When the sonof Kunti had seen them, all these relatives arrayed, he wasovercome with the greatest compassion,']"
Arjuna refuses to fight because _.,he is not satisfied with thelawful victory,0,41,"['22, 30, 32–34,44, 48, 119desire and, 25, 131renunciation of, 21, 52, 138to sense objects, 25–26attraction, sensory, 25–26, 55, 59,138, 166. See also desire; senseobjectsattraction-aversion, 123austerity. See also asceticsof the body, 152in nature of Brahmin, 167not ordained, demonic nature of,150origin of, 71relinquishing, 158as sacriﬁce, 45threefold nature of, 152–155awareness, spiritual, 78–83BBadarayana (Vyasa), xvi, xviii, 96,101, 174, 183Banaras (Kashi), 179battle. See also warriorsArjuna refuses to ﬁght, 1–13, 18Arjuna shown purpose andoutcome of, 110–113\x0cI NDEX189action initiated by, 160win-loss distinction in lawful,18–20austerity of, 152winning in, 12delusion that one is one’s, 14–18beatitude, 55–56. See also peace,the ﬁeld and its knower, 122–129attaining byfortress of nine gates, 53becoming/unbecoming']"
Which of the following is TRUE according to the passage?,Sanjaya was a brilliant student of Arjuna.,0,41,"['Chapter OneArjuna’s DespairDhritarashtra said, “When my troops and the sons of Pandu,eager to ﬁght, were arrayed on the Kuru ﬁeld, the ﬁeld of law,what did they do, Sanjaya?”Sanjaya said, “When Duryodhana, the king, saw the army ofthe Pandu sons assembled, he went to his teacher and spokethese words.‘Look at this huge army of the Pandu sons, teacher, arrayed forbattle by the son of Drupada, that brilliant student of yours.1Here are the heroes, the great archers, the equals of Bhimaand Arjuna in battle: Yuyudhana, Virata, and the great warriorDrupada; Dhrishtaketu, Chekitana, and the heroic king ofKashi; Purujit, Kuntibhoja, and Shaibya, bull']"
Which of the following is TRUE according to the passage?,Pandu is the name of a prince.,0,29,"['earth.It is surrounded by seven continents interspersed with oceans.Brahma resides on its summit.Mighty-armed Prince In the Gita, Krishna or Arjuna. A generic epithetfor warriors.Nakula The twin brother of Sahadeva and half-brother of Arjuna,Bhima, and Yudhishthira. He is the fourth of the Pandu princes andthe son of Madri, Pandu’s second wife, and reputedly Pandu, butactually was the son of the Ashvins.Narada A seer. In later mythology, he is a friend of Krishna andregarded as the inventor of the vina, or lute. In epic poetry, he isa Gandharva.Pancajanya Krishna’s conch shell.Pandavas The sons of Pandu. They are Yudhishthira, Arjuna, Bhima,Nakula, and Sahadeva.Pandu']"
Which of the following is TRUE according to the passage?,The Hindu calendar is the month in which the fullmoon enters the constellation Mrigashiras.,0,90,"['Vedas, man par excellence, the representative man, andthe father of the human race. In later mythology, the name Manu isespecially applied to fourteen successive mythical progenitors andsovereigns of the earth, the seventh of which is Manu Vaivasvata,\x0c180NAMES AND NICKNAMESmentioned in verse 4.1. In verse 32.6, the four Manus are related tothe four yugas, or ages of the world.Margashirsha In the Hindu calendar, the month in which the fullmoon enters the constellation Mrigashiras. It corresponds toNovember-December in the Western calendar.Marici A seer.Maruts The storm gods, who are companions of Indra.Meru A fabulous mountain, said to form the central point of the']"
The text is most probably taken from _.,a book review,0,12,"['Ç—™‹ ™—ºÊ æ‰≤ Ü¥⁄Æ{Ÿ “speaks with unprecedented fidelity and clarity.ƒºÎ ¿Ÿú-æËíŸæ“§-⁄∆YŸÜ¥⁄ÆÕæ™‰informative|| ∫˘Ÿ≥´æŸ ∏“‹-º™-±∆Ÿ≥™‰ ¿ŸúºŸ¿Ÿº‰® æË⁄í≤Ÿ | éÂ∆Thisbook containsa particularlyintroduction,the Sanskrittext ofBhandarkar ≤ºÅ Ç—™‹ ™—ºÊ æ‰≤æËí¤ úŸ≤¤™‰™™Î ¥˘–ŸÆ™Å|| theÃ˘¤ ÇŸ⁄Æ-≤Ÿ¨ŸæŸ≤™‰ | —∆Ÿ´ºŸ¿ŸºÅ Ç¨∆ŸOriental Research Institute’s critical edition, an¨ºÎ —∆Ÿ´ºŸ¿Ÿº‰® æË⁄í≤Ÿ| éÂ∆ƒºÎ ¿Ÿú-æËíŸæ “§-⁄∆YŸ Ü¥⁄ÆÕæ™‰ || ∫˘Ÿ≥´æŸ ∏“‹-º™-±∆Ÿ≥™unparalleled new English translation, a compreÇ¨∆ŸæËí¤ofúŸ≤¤™‰–ŸÆ™Å || Ã˘¤andÇŸ⁄Æ-≤Ÿ¨Ÿæ≤ºÅ Ç—™‹ ™YŸÅ ⁄∆úŸ≤™‰ | —∆Ÿ´ºŸ¿ŸºÅhensiveglossarynames™™Îand¥˘nicknames,aí‹¡ºÎ ≤Ÿ¨ºÎ —∆Ÿ´ºŸ¿Ÿº‰thorough® æË⁄í≤Ÿindex.| éÂ∆ƒºÎ ¿Ÿú-æËíŸæ “§-⁄∆YŸ Ü¥⁄ÆÕæ™‰ || ∫˘Ÿ≥´æŸ ∏“‹Ç¨∆Ÿ æËí¤ úŸ≤¤™‰ ™™Î ¥˘–ŸÆ™Å || Ã˘¤ ÇŸ⁄Æ-≤Ÿ¨Ÿæ ≤ºÅ’-ÇŸYŸÅ ⁄∆úŸ≤™‰ | —∆Ÿ´ºŸ¿ŸºÅ“This is a luminous translation that performs the®Ωæ Ã˘¤-í‹¡ºÎ ≤Ÿ¨ºÎ —∆Ÿ´ºŸ¿Ÿº‰æË⁄í≤Ÿ| éÂ∆ƒºÎthe¿Ÿú-æËíŸæÜ¥⁄ÆÕæ™‰ || ∫˘Ÿexceptional® featof bringingGita fully “§-⁄∆YŸalivein a Westernlanguage,combiningaccuracy| —∆Ÿ´ºŸ¿ŸºÅÇ¨∆ŸæËí¤ úŸ≤¤™‰™™Îwith¥˘–ŸÆ™Å']"
